BS_IP,BS_MAC,A_WG_IP,A_YW_IP,A_PORT,PW,B_IP
8.155.17.13,a4a1.c234.6f43,4.112.32.244,3.112.32.244,GE0/1/10.200,pw10030,14.152.168.130
8.155.17.14,a4a1.c234.6f43,4.112.32.244,3.112.32.244,GE0/1/10.300,pw10031,14.152.168.130
8.155.17.105,a4a1.c234.abf6,4.112.33.73,3.112.33.73,GE0/1/10.200,pw10124,14.152.168.130
8.155.17.106,a4a1.c234.abf6,4.112.33.73,3.112.33.73,GE0/1/10.300,pw10125,14.152.168.130
8.155.17.29,a4a1.c236.4239,4.112.32.246,3.112.32.246,GE0/1/10.200,pw10032,14.152.168.130
8.155.17.30,a4a1.c236.4239,4.112.32.246,3.112.32.246,GE0/1/10.300,pw10033,14.152.168.130
8.155.17.15,a4a1.c233.a5d8,4.112.32.157,3.112.32.157,GE0/1/10.200,pw10000,14.152.168.130
8.155.17.16,a4a1.c233.a5d8,4.112.32.157,3.112.32.157,GE0/1/10.300,pw10001,14.152.168.130
8.155.17.33,044e.066f.a566,4.112.32.180,3.112.32.180,GE0/5/2.200,pw10022,14.152.168.130
8.155.17.34,044e.066f.a566,4.112.32.180,3.112.32.180,GE0/5/2.300,pw10023,14.152.168.130
8.155.32.23,a4a1.c27a.30ff,4.112.32.180,3.112.32.180,GE0/6/2.200,pw10174,14.152.168.130
8.155.32.24,a4a1.c27a.30ff,4.112.32.180,3.112.32.180,GE0/6/2.300,pw10175,14.152.168.130
8.155.17.19,a4a1.c234.0249,4.112.32.156,3.112.32.156,GE0/1/10.200,pw10004,14.152.168.130
8.155.17.20,a4a1.c234.0249,4.112.32.156,3.112.32.156,GE0/1/10.300,pw10005,14.152.168.130
8.155.17.107,a4a1.c233.d1b4,4.112.33.70,3.112.33.70,GE0/3/8.200,pw10120,14.152.168.130
8.155.17.108,a4a1.c233.d1b4,4.112.33.70,3.112.33.70,GE0/3/8.300,pw10121,14.152.168.130
8.155.17.109,a4a1.c233.d351,4.112.33.70,3.112.33.70,GE0/1/10.200,pw10118,14.152.168.130
8.155.17.110,a4a1.c233.d351,4.112.33.70,3.112.33.70,GE0/1/10.300,pw10119,14.152.168.130
8.155.17.111,a4a1.c233.caec,4.112.33.70,3.112.33.70,GE0/1/9.200,pw10122,14.152.168.130
8.155.17.112,a4a1.c233.caec,4.112.33.70,3.112.33.70,GE0/1/9.300,pw10123,14.152.168.130
8.155.17.41,a4a1.c233.cee3,4.112.32.183,3.112.32.183,GE0/1/10.200,pw10016,14.152.168.130
8.155.17.42,a4a1.c233.cee3,4.112.32.183,3.112.32.183,GE0/1/10.300,pw10017,14.152.168.130
8.155.17.59,a4a1.c237.0628,4.112.33.47,3.112.33.47,GE0/1/10.200,pw10060,14.152.168.130
8.155.17.60,a4a1.c237.0628,4.112.33.47,3.112.33.47,GE0/1/10.300,pw10061,14.152.168.130
8.155.32.5,a4a1.c277.325c,4.112.33.47,3.112.33.47,GE0/1/9.200,pw10150,14.152.168.130
8.155.32.6,a4a1.c277.325c,4.112.33.47,3.112.33.47,GE0/1/9.300,pw10151,14.152.168.130
8.155.17.75,a4a1.c235.8355,4.112.33.32,3.112.33.32,GE0/1/10.200,pw10080,14.152.168.130
8.155.17.76,a4a1.c235.8355,4.112.33.32,3.112.33.32,GE0/1/10.300,pw10081,14.152.168.130
8.155.17.121,a4a1.c234.0edd,4.112.33.32,3.112.33.32,GE0/3/8.200,pw10132,14.152.168.130
8.155.17.122,a4a1.c234.0edd,4.112.33.32,3.112.33.32,GE0/3/8.300,pw10133,14.152.168.130
8.155.32.21,a4a1.c276.edd6,4.112.33.32,3.112.33.32,GE0/1/9.200,pw10162,14.152.168.130
8.155.32.22,a4a1.c276.edd6,4.112.33.32,3.112.33.32,GE0/1/9.300,pw10163,14.152.168.130
8.155.32.49,a4a1.c235.84b3,4.112.33.32,3.112.33.32,GE0/3/7.200,pw10192,14.152.168.130
8.155.32.50,a4a1.c235.84b3,4.112.33.32,3.112.33.32,GE0/3/7.300,pw10193,14.152.168.130
8.155.17.21,a4a1.c233.95cb,4.112.32.158,3.112.32.158,GE0/1/10.200,pw10010,14.152.168.130
8.155.17.22,a4a1.c233.95cb,4.112.32.158,3.112.32.158,GE0/1/10.300,pw10011,14.152.168.130
8.155.17.69,a4a1.c234.a99c,4.112.33.53,3.112.33.53,GE0/1/10.200,pw10078,14.152.168.130
8.155.17.70,a4a1.c234.a99c,4.112.33.53,3.112.33.53,GE0/1/10.300,pw10079,14.152.168.130
8.155.17.79,a4a1.c237.094d,4.112.33.53,3.112.33.53,GE0/3/8.200,pw10082,14.152.168.130
8.155.17.80,a4a1.c237.094d,4.112.33.53,3.112.33.53,GE0/3/8.300,pw10083,14.152.168.130
8.155.17.85,a4a1.c233.8a64,4.112.33.51,3.112.33.51,GE0/1/10.200,pw10098,14.152.168.130
8.155.17.86,a4a1.c233.8a64,4.112.33.51,3.112.33.51,GE0/1/10.300,pw10099,14.152.168.130
8.155.17.125,a4a1.c276.e94c,4.112.33.51,3.112.33.51,GE0/3/8.200,pw10134,14.152.168.130
8.155.17.126,a4a1.c276.e94c,4.112.33.51,3.112.33.51,GE0/3/8.300,pw10135,14.152.168.130
8.155.32.3,a4a1.c277.31f3,4.112.33.51,3.112.33.51,GE0/1/9.200,pw10148,14.152.168.130
8.155.32.4,a4a1.c277.31f3,4.112.33.51,3.112.33.51,GE0/1/9.300,pw10149,14.152.168.130
