BS_IP,BS_MAC,A_WG_IP,A_YW_IP,A_PORT,PW,B_IP
8.155.19.5,8038.bc11.8543,4.112.32.234,3.112.32.234,GE0/1/10.200,pw20005,14.152.168.141
8.155.19.5,8038.bc11.8543,4.112.32.234,3.112.32.234,GE0/1/10.200,pw10005,14.152.168.140
8.152.12.134,fcc8.97db.37b0,4.112.225.113,3.112.225.113,GE0/1/10.200,pw20006,14.152.242.38
8.152.12.134,fcc8.97db.37b0,4.112.225.113,3.112.225.113,GE0/1/10.200,pw10006,14.152.242.37
8.152.19.16,688f.84f7.0231,4.112.224.159,3.112.224.159,GE0/1/10.200,pw10014,14.152.242.31
8.152.19.16,688f.84f7.0231,4.112.224.159,3.112.224.159,GE0/1/10.200,pw20014,14.152.242.32
8.152.18.186,688f.84f8.c03b,4.112.225.67,3.112.225.67,GE0/5/1.200,pw10056,14.152.242.29
8.152.18.187,688f.84f9.f587,4.112.225.67,3.112.225.67,GE0/6/1.200,pw10057,14.152.242.29
8.152.18.188,688f.84f9.f71b,4.112.225.67,3.112.225.67,GE0/5/2.200,pw10058,14.152.242.29
8.152.18.186,688f.84f8.c03b,4.112.225.67,3.112.225.67,GE0/5/1.200,pw20056,14.152.242.30
8.152.18.187,688f.84f9.f587,4.112.225.67,3.112.225.67,GE0/6/1.200,pw20057,14.152.242.30
8.152.18.188,688f.84f9.f71b,4.112.225.67,3.112.225.67,GE0/5/2.200,pw20058,14.152.242.30
8.149.16.14,8038.bc15.0ca4,4.111.225.76,3.111.225.76,GE0/6/1.200,pw10016,14.152.160.131
8.149.16.16,8038.bc13.7f27,4.111.225.76,3.111.225.76,GE0/5/2.200,pw10015,14.152.160.131
8.149.16.17,8038.bc15.0ca0,4.111.225.76,3.111.225.76,GE0/5/1.200,pw10014,14.152.160.131
8.149.16.48,88a2.d71e.d21d,4.111.225.76,3.111.225.76,GE0/6/2.200,pw10061,14.152.160.131
8.149.16.50,845b.1271.8599,4.111.225.76,3.111.225.76,GE0/5/3.200,pw10063,14.152.160.131
8.149.16.14,8038.bc15.0ca4,4.111.225.76,3.111.225.76,GE0/6/1.200,pw20016,14.152.160.132
8.149.16.16,8038.bc13.7f27,4.111.225.76,3.111.225.76,GE0/5/2.200,pw20015,14.152.160.132
8.149.16.17,8038.bc15.0ca0,4.111.225.76,3.111.225.76,GE0/5/1.200,pw20014,14.152.160.132
8.149.16.48,88a2.d71e.d21d,4.111.225.76,3.111.225.76,GE0/6/2.200,pw20061,14.152.160.132
8.149.16.50,845b.1271.8599,4.111.225.76,3.111.225.76,GE0/5/3.200,pw20063,14.152.160.132
8.152.18.144,688f.84f7.013d,4.112.224.146,3.112.224.146,GE0/5/1.200,pw10019,14.152.242.29
8.152.18.181,fce3.3ca1.9521,4.112.224.146,3.112.224.146,GE0/6/1.200,pw10055,14.152.242.29
8.152.18.195,e4c2.d1e9.88d3,4.112.224.146,3.112.224.146,GE0/5/2.200,pw10066,14.152.242.29
8.132.98.8,0015.eb94.b872,4.112.224.146,3.112.224.146,GE0/6/5.200,pw10077,14.152.242.29
8.152.18.144,688f.84f7.013d,4.112.224.146,3.112.224.146,GE0/5/1.200,pw20019,14.152.242.30
8.152.18.181,fce3.3ca1.9521,4.112.224.146,3.112.224.146,GE0/6/1.200,pw20055,14.152.242.30
